路径ID,起始节点,中介变量,终点节点,完整路径
534,疾病_胆囊结石,疾病_脂肪肝,疾病_肺恶性肿瘤,疾病_胆囊结石 → 疾病_脂肪肝 → 疾病_肺恶性肿瘤
535,疾病_胆囊结石,检验_钙,检验_嗜碱性粒细胞比率,疾病_胆囊结石 → 检验_钙 → 检验_嗜碱性粒细胞比率
536,疾病_脂肪肝,疾病_胆囊结石,检验_钙,疾病_脂肪肝 → 疾病_胆囊结石 → 检验_钙
537,疾病_脂肪肝,疾病_胆囊结石,药物_盐酸二甲双胍片,疾病_脂肪肝 → 疾病_胆囊结石 → 药物_盐酸二甲双胍片
538,疾病_脂肪肝,疾病_胆囊结石,药物_甲钴胺片,疾病_脂肪肝 → 疾病_胆囊结石 → 药物_甲钴胺片
539,疾病_脂肪肝,检验_C反应蛋白,药物_复方鲜竹沥液,疾病_脂肪肝 → 检验_C反应蛋白 → 药物_复方鲜竹沥液
540,疾病_脂肪肝,检验_C反应蛋白,疾病_低钾血症,疾病_脂肪肝 → 检验_C反应蛋白 → 疾病_低钾血症
541,疾病_脂肪肝,检验_C反应蛋白,检验_总蛋白,疾病_脂肪肝 → 检验_C反应蛋白 → 检验_总蛋白
542,疾病_脂肪肝,疾病_糖尿病性周围血管病,疾病_血糖控制不佳,疾病_脂肪肝 → 疾病_糖尿病性周围血管病 → 疾病_血糖控制不佳
543,疾病_脂肪肝,疾病_肺恶性肿瘤,疾病_前列腺增生,疾病_脂肪肝 → 疾病_肺恶性肿瘤 → 疾病_前列腺增生
544,疾病_脂肪肝,疾病_肺恶性肿瘤,疾病_恶性肿瘤维持性化学治疗,疾病_脂肪肝 → 疾病_肺恶性肿瘤 → 疾病_恶性肿瘤维持性化学治疗
545,疾病_脂肪肝,疾病_肺恶性肿瘤,检验_单核细胞数量,疾病_脂肪肝 → 疾病_肺恶性肿瘤 → 检验_单核细胞数量
546,检验_钠,药物_重组人促红素注射液,疾病_尿毒症,检验_钠 → 药物_重组人促红素注射液 → 疾病_尿毒症
547,检验_钠,药物_重组人促红素注射液,检验_磷,检验_钠 → 药物_重组人促红素注射液 → 检验_磷
548,检验_钠,药物_重组人促红素注射液,检验_谷丙转氨酶,检验_钠 → 药物_重组人促红素注射液 → 检验_谷丙转氨酶
549,检验_钠,检验_淋巴细胞比率,检验_中性粒细胞比率,检验_钠 → 检验_淋巴细胞比率 → 检验_中性粒细胞比率
550,检验_钠,检验_淋巴细胞比率,检验_淋巴细胞数量,检验_钠 → 检验_淋巴细胞比率 → 检验_淋巴细胞数量
551,检验_钠,检验_淋巴细胞比率,药物_维生素B6注射液,检验_钠 → 检验_淋巴细胞比率 → 药物_维生素B6注射液
552,检验_钠,检验_葡萄糖,疾病_肝囊肿,检验_钠 → 检验_葡萄糖 → 疾病_肝囊肿
553,检验_钠,检验_葡萄糖,疾病_糖尿病,检验_钠 → 检验_葡萄糖 → 疾病_糖尿病
554,检验_钠,检验_葡萄糖,药物_地西泮注射液,检验_钠 → 检验_葡萄糖 → 药物_地西泮注射液
555,检验_钠,检验_葡萄糖,药物_碳酸钙片,检验_钠 → 检验_葡萄糖 → 药物_碳酸钙片
556,检验_钠,检验_氯,药物_单硝酸异山梨酯缓释片,检验_钠 → 检验_氯 → 药物_单硝酸异山梨酯缓释片
557,检验_钠,检验_氯,药物_葡萄糖注射液,检验_钠 → 检验_氯 → 药物_葡萄糖注射液
558,检验_嗜酸性粒细胞数量,检验_嗜酸性粒细胞比率,药物_硝苯地平控释片,检验_嗜酸性粒细胞数量 → 检验_嗜酸性粒细胞比率 → 药物_硝苯地平控释片
559,检验_嗜酸性粒细胞数量,检验_嗜酸性粒细胞比率,疾病_医疗机构新收治患者及陪护人员,检验_嗜酸性粒细胞数量 → 检验_嗜酸性粒细胞比率 → 疾病_医疗机构新收治患者及陪护人员
560,检验_嗜酸性粒细胞数量,疾病_心功能,疾病_不稳定性心绞痛,检验_嗜酸性粒细胞数量 → 疾病_心功能 → 疾病_不稳定性心绞痛
561,疾病_肢体动脉硬化,疾病_颈总动脉斑块,疾病_心律失常,疾病_肢体动脉硬化 → 疾病_颈总动脉斑块 → 疾病_心律失常
562,疾病_肢体动脉硬化,疾病_颈总动脉斑块,疾病_老年性白内障,疾病_肢体动脉硬化 → 疾病_颈总动脉斑块 → 疾病_老年性白内障
563,检验_球蛋白,检验_总蛋白,检验_钙,检验_球蛋白 → 检验_总蛋白 → 检验_钙
564,检验_球蛋白,检验_总蛋白,检验_白蛋白,检验_球蛋白 → 检验_总蛋白 → 检验_白蛋白
565,检验_单核细胞比率,检验_白细胞,检验_中性粒细胞数量,检验_单核细胞比率 → 检验_白细胞 → 检验_中性粒细胞数量
566,检验_单核细胞比率,检验_白细胞,药物_二羟丙茶碱注射液,检验_单核细胞比率 → 检验_白细胞 → 药物_二羟丙茶碱注射液
567,检验_白蛋白,检验_总蛋白,检验_钙,检验_白蛋白 → 检验_总蛋白 → 检验_钙
568,检验_白蛋白,检验_总蛋白,检验_球蛋白,检验_白蛋白 → 检验_总蛋白 → 检验_球蛋白
569,药物_呋塞米片,药物_螺内酯片,药物_酒石酸美托洛尔片,药物_呋塞米片 → 药物_螺内酯片 → 药物_酒石酸美托洛尔片
570,药物_呋塞米片,药物_螺内酯片,药物_艾司唑仑片,药物_呋塞米片 → 药物_螺内酯片 → 药物_艾司唑仑片
571,药物_单硝酸异山梨酯片,疾病_冠状动脉粥样硬化性心脏病,药物_盐酸曲美他嗪片,药物_单硝酸异山梨酯片 → 疾病_冠状动脉粥样硬化性心脏病 → 药物_盐酸曲美他嗪片
572,药物_单硝酸异山梨酯片,疾病_冠状动脉粥样硬化性心脏病,疾病_不稳定性心绞痛,药物_单硝酸异山梨酯片 → 疾病_冠状动脉粥样硬化性心脏病 → 疾病_不稳定性心绞痛
573,药物_单硝酸异山梨酯片,疾病_冠状动脉粥样硬化性心脏病,药物_阿托伐他汀钙片,药物_单硝酸异山梨酯片 → 疾病_冠状动脉粥样硬化性心脏病 → 药物_阿托伐他汀钙片
574,药物_单硝酸异山梨酯片,疾病_冠状动脉粥样硬化性心脏病,疾病_尿毒症,药物_单硝酸异山梨酯片 → 疾病_冠状动脉粥样硬化性心脏病 → 疾病_尿毒症
575,检验_肌酐,疾病_腔隙性脑梗死,药物_劳拉西泮片,检验_肌酐 → 疾病_腔隙性脑梗死 → 药物_劳拉西泮片
576,检验_肌酐,疾病_腔隙性脑梗死,疾病_高尿酸血症,检验_肌酐 → 疾病_腔隙性脑梗死 → 疾病_高尿酸血症
577,疾病_贫血,药物_琥珀酸亚铁片,药物_叶酸片,疾病_贫血 → 药物_琥珀酸亚铁片 → 药物_叶酸片
578,疾病_贫血,药物_琥珀酸亚铁片,疾病_糖尿病性周围血管病,疾病_贫血 → 药物_琥珀酸亚铁片 → 疾病_糖尿病性周围血管病
579,药物_琥珀酸亚铁片,药物_叶酸片,药物_卡维地洛片,药物_琥珀酸亚铁片 → 药物_叶酸片 → 药物_卡维地洛片
580,药物_琥珀酸亚铁片,药物_叶酸片,药物_甲钴胺分散片,药物_琥珀酸亚铁片 → 药物_叶酸片 → 药物_甲钴胺分散片
581,药物_琥珀酸亚铁片,疾病_糖尿病性周围血管病,疾病_血糖控制不佳,药物_琥珀酸亚铁片 → 疾病_糖尿病性周围血管病 → 疾病_血糖控制不佳
582,检验_钙,检验_嗜碱性粒细胞比率,检验_嗜碱性粒细胞数量,检验_钙 → 检验_嗜碱性粒细胞比率 → 检验_嗜碱性粒细胞数量
583,疾病_肛乳头肥大,疾病_混合痔,药物_裸花紫珠分散片,疾病_肛乳头肥大 → 疾病_混合痔 → 药物_裸花紫珠分散片
584,疾病_肛乳头肥大,疾病_混合痔,药物_头孢地尼分散片,疾病_肛乳头肥大 → 疾病_混合痔 → 药物_头孢地尼分散片
585,检验_血小板,药物_维生素C注射液,药物_维生素B6注射液,检验_血小板 → 药物_维生素C注射液 → 药物_维生素B6注射液
586,疾病_恶性肿瘤维持性化学治疗,检验_尿酸,疾病_高尿酸血症,疾病_恶性肿瘤维持性化学治疗 → 检验_尿酸 → 疾病_高尿酸血症
587,疾病_恶性肿瘤维持性化学治疗,检验_尿酸,疾病_重度骨质疏松,疾病_恶性肿瘤维持性化学治疗 → 检验_尿酸 → 疾病_重度骨质疏松
588,疾病_恶性肿瘤维持性化学治疗,检验_尿酸,检验_钾,疾病_恶性肿瘤维持性化学治疗 → 检验_尿酸 → 检验_钾
589,疾病_恶性肿瘤维持性化学治疗,检验_尿酸,疾病_慢性胃炎,疾病_恶性肿瘤维持性化学治疗 → 检验_尿酸 → 疾病_慢性胃炎
590,疾病_恶性肿瘤维持性化学治疗,检验_尿酸,药物_劳拉西泮片,疾病_恶性肿瘤维持性化学治疗 → 检验_尿酸 → 药物_劳拉西泮片
591,药物_碳酸钙片,药物_骨化三醇胶丸,疾病_类风湿性关节炎,药物_碳酸钙片 → 药物_骨化三醇胶丸 → 疾病_类风湿性关节炎
592,药物_碳酸钙片,药物_骨化三醇胶丸,药物_酒石酸美托洛尔片,药物_碳酸钙片 → 药物_骨化三醇胶丸 → 药物_酒石酸美托洛尔片
593,药物_碳酸钙片,疾病_糖尿病性视网膜病变,疾病_白内障,药物_碳酸钙片 → 疾病_糖尿病性视网膜病变 → 疾病_白内障
594,药物_碳酸钙片,疾病_糖尿病性视网膜病变,药物_厄贝沙坦片,药物_碳酸钙片 → 疾病_糖尿病性视网膜病变 → 药物_厄贝沙坦片
595,检验_间接胆红素,检验_总胆红素,检验_直接胆红素,检验_间接胆红素 → 检验_总胆红素 → 检验_直接胆红素
596,检验_间接胆红素,检验_总胆红素,疾病_非毒性单个甲状腺结节,检验_间接胆红素 → 检验_总胆红素 → 疾病_非毒性单个甲状腺结节
597,药物_硫酸氢氯吡格雷片,药物_单硝酸异山梨酯片,疾病_冠状动脉粥样硬化性心脏病,药物_硫酸氢氯吡格雷片 → 药物_单硝酸异山梨酯片 → 疾病_冠状动脉粥样硬化性心脏病
598,药物_硫酸氢氯吡格雷片,药物_单硝酸异山梨酯片,疾病_类风湿性关节炎,药物_硫酸氢氯吡格雷片 → 药物_单硝酸异山梨酯片 → 疾病_类风湿性关节炎
599,药物_硫酸氢氯吡格雷片,药物_盐酸曲美他嗪片,疾病_低蛋白血症,药物_硫酸氢氯吡格雷片 → 药物_盐酸曲美他嗪片 → 疾病_低蛋白血症
600,药物_硫酸氢氯吡格雷片,药物_盐酸曲美他嗪片,药物_阿卡波糖片,药物_硫酸氢氯吡格雷片 → 药物_盐酸曲美他嗪片 → 药物_阿卡波糖片
601,药物_硫酸氢氯吡格雷片,药物_盐酸曲美他嗪片,疾病_陈旧性脑梗死,药物_硫酸氢氯吡格雷片 → 药物_盐酸曲美他嗪片 → 疾病_陈旧性脑梗死
602,药物_硫酸氢氯吡格雷片,疾病_陈旧性脑梗死,疾病_重度骨质疏松,药物_硫酸氢氯吡格雷片 → 疾病_陈旧性脑梗死 → 疾病_重度骨质疏松
603,药物_酒石酸美托洛尔片,药物_富马酸比索洛尔片,药物_硝苯地平缓释片,药物_酒石酸美托洛尔片 → 药物_富马酸比索洛尔片 → 药物_硝苯地平缓释片
604,药物_酒石酸美托洛尔片,药物_富马酸比索洛尔片,疾病_心律失常,药物_酒石酸美托洛尔片 → 药物_富马酸比索洛尔片 → 疾病_心律失常
605,药物_酒石酸美托洛尔片,药物_富马酸比索洛尔片,药物_甲钴胺片,药物_酒石酸美托洛尔片 → 药物_富马酸比索洛尔片 → 药物_甲钴胺片
606,疾病_心功能,疾病_不稳定性心绞痛,疾病_反流性食管炎,疾病_心功能 → 疾病_不稳定性心绞痛 → 疾病_反流性食管炎
607,疾病_心功能,疾病_不稳定性心绞痛,药物_盐酸曲美他嗪片,疾病_心功能 → 疾病_不稳定性心绞痛 → 药物_盐酸曲美他嗪片
608,检验_血小板比容,检验_血小板,药物_维生素C注射液,检验_血小板比容 → 检验_血小板 → 药物_维生素C注射液
609,药物_阿托伐他汀钙片,药物_硫酸氢氯吡格雷片,药物_单硝酸异山梨酯片,药物_阿托伐他汀钙片 → 药物_硫酸氢氯吡格雷片 → 药物_单硝酸异山梨酯片
610,药物_阿托伐他汀钙片,药物_硫酸氢氯吡格雷片,药物_盐酸曲美他嗪片,药物_阿托伐他汀钙片 → 药物_硫酸氢氯吡格雷片 → 药物_盐酸曲美他嗪片
611,药物_阿托伐他汀钙片,药物_硫酸氢氯吡格雷片,疾病_陈旧性脑梗死,药物_阿托伐他汀钙片 → 药物_硫酸氢氯吡格雷片 → 疾病_陈旧性脑梗死
612,药物_阿托伐他汀钙片,疾病_心律失常,疾病_慢性支气管炎,药物_阿托伐他汀钙片 → 疾病_心律失常 → 疾病_慢性支气管炎
613,检验_磷,药物_碳酸钙片,药物_骨化三醇胶丸,检验_磷 → 药物_碳酸钙片 → 药物_骨化三醇胶丸
614,检验_磷,药物_碳酸钙片,疾病_糖尿病性视网膜病变,检验_磷 → 药物_碳酸钙片 → 疾病_糖尿病性视网膜病变
615,药物_碳酸氢钠片,检验_磷,药物_碳酸钙片,药物_碳酸氢钠片 → 检验_磷 → 药物_碳酸钙片
616,疾病_肺恶性肿瘤,疾病_前列腺增生,检验_钙,疾病_肺恶性肿瘤 → 疾病_前列腺增生 → 检验_钙
617,疾病_肺恶性肿瘤,疾病_恶性肿瘤维持性化学治疗,检验_尿酸,疾病_肺恶性肿瘤 → 疾病_恶性肿瘤维持性化学治疗 → 检验_尿酸
618,疾病_低钾血症,疾病_心功能,疾病_不稳定性心绞痛,疾病_低钾血症 → 疾病_心功能 → 疾病_不稳定性心绞痛
619,药物_富马酸比索洛尔片,疾病_心律失常,疾病_慢性支气管炎,药物_富马酸比索洛尔片 → 疾病_心律失常 → 疾病_慢性支气管炎
620,药物_厄贝沙坦氢氯噻嗪片,疾病_低钾血症,疾病_心功能,药物_厄贝沙坦氢氯噻嗪片 → 疾病_低钾血症 → 疾病_心功能
621,药物_厄贝沙坦氢氯噻嗪片,疾病_低钾血症,检验_钾,药物_厄贝沙坦氢氯噻嗪片 → 疾病_低钾血症 → 检验_钾
